0,1,2,3,4,5,6,7,8,9,10,11
State,District,Year,Wheat,Wheat,Wheat,,,,,,
State,District,Year,Rabi,Rabi,Rabi,,,,,,
State,District,Year,Area (Hectare),Production  (Tonnes),Yield  (Tonne/Hectare),,,,,,
1. Punjab,12. Ludhiana,2020 - 2021,249700.00,1241000.00,4.97,,,,,,
1. Punjab,12. Ludhiana,2021 - 2022,244200.00,1044000.00,4.28,,,,,,
1. Punjab,12. Ludhiana,2022 - 2023,244700.00,1123400.00,4.59,,,,,,
1. Punjab,13. Malerkotla,2021  - 2022,52400.00,227000.00,4.33,,,,,,
1. Punjab,13. Malerkotla,2022 - 2023,52100.00,258500.00,4.96,,,,,,
1. Punjab,14. Mansa,1997  - 1998,157000.00,558000.00,3.55,,,,,,
1. Punjab,14. Mansa,1998 - 1999,159000.00,687000.00,4.32,,,,,,
1. Punjab,14. Mansa,1999 - 2000,157000.00,719000.00,4.58,,,,,,
1. Punjab,14. Mansa,2000 - 2001,163000.00,748000.00,4.59,,,,,,
1. Punjab,14. Mansa,2001 - 2002,165000.00,667000.00,4.04,,,,,,
1. Punjab,14. Mansa,2002 - 2003,163000.00,691000.00,4.24,,,,,,
1. Punjab,14. Mansa,2003 - 2004,166000.00,691000.00,4.16,,,,,,
1. Punjab,14. Mansa,2004 - 2005,167000.00,707000.00,4.23,,,,,,
1. Punjab,14. Mansa,2005 - 2006,163000.00,612000.00,3.75,,,,,,
1. Punjab,14. Mansa,2006 - 2007,165000.00,718000.00,4.35,,,,,,
1. Punjab,14. Mansa,2007 - 2008,169000.00,727000.00,4.3,,,,,,
1. Punjab,14. Mansa,2008 - 2009,171000.00,791000.00,4.63,,,,,,
1. Punjab,14. Mansa,2009 - 2010,170000.00,730000.00,4.29,,,,,,
1. Punjab,14. Mansa,2010 - 2011,170000.00,830000.00,4.88,,,,,,
1. Punjab,14. Mansa,2011 - 2012,170000.00,841000.00,4.95,,,,,,
1. Punjab,14. Mansa,2012 - 2013,171000.00,759000.00,4.44,,,,,,
1. Punjab,14. Mansa,2013 - 2014,170000.00,854000.00,5.02,,,,,,
1. Punjab,14. Mansa,2014 - 2015,166000.00,742000.00,4.47,,,,,,
1. Punjab,14. Mansa,2015 - 2016,170000.00,789000.00,4.64,,,,,,
1. Punjab,14. Mansa,2016 - 2017,171000.00,876000.00,5.12,,,,,,
1. Punjab,14. Mansa,2017 - 2018,172000.00,890000.00,5.17,,,,,,
1. Punjab,14. Mansa,2018 - 2019,171000.00,932000.00,5.45,,,,,,
1. Punjab,14. Mansa,2019 - 2020,171000.00,922000.00,5.39,,,,,,
1. Punjab,14. Mansa,2020 - 2021,171600.00,852000.00,4.97,,,,,,
1. Punjab,14. Mansa,2021 - 2022,172500.00,768000.00,4.45,,,,,,
1. Punjab,14. Mansa,2022 - 2023,170800.00,854200.00,5,,,,,,
1. Punjab,15. Moga,1997  - 1998,124000.00,530000.00,4.27,,,,,,
1. Punjab,15. Moga,1998 - 1999,124000.00,562000.00,4.53,,,,,,
1. Punjab,15. Moga,1999 - 2000,170000.00,838000.00,4.93,,,,,,
1. Punjab,15. Moga,2000 - 2001,172000.00,818000.00,4.76,,,,,,
1. Punjab,15. Moga,2001 - 2002,167000.00,779000.00,4.66,,,,,,
1. Punjab,15. Moga,2002 - 2003,170000.00,735000.00,4.32,,,,,,
1. Punjab,15. Moga,2003 - 2004,171000.00,743000.00,4.35,,,,,,
1. Punjab,15. Moga,2004 - 2005,173000.00,759000.00,4.39,,,,,,
1. Punjab,15. Moga,2005 - 2006,174000.00,767000.00,4.41,,,,,,
1. Punjab,15. Moga,2006 - 2007,175000.00,725000.00,4.14,,,,,,
1. Punjab,15. Moga,2007 - 2008,175000.00,818000.00,4.67,,,,,,
1. Punjab,15. Moga,2008 - 2009,117000.00,873000.00,7.46,,,,,,
1. Punjab,15. Moga,2009 - 2010,177000.00,779000.00,4.4,,,,,,
1. Punjab,15. Moga,2010 - 2011,177000.00,887000.00,5.01,,,,,,
1. Punjab,15. Moga,2011 - 2012,176000.00,961000.00,5.46,,,,,,
1. Punjab,15. Moga,2012 - 2013,176000.00,871000.00,4.95,,,,,,
1. Punjab,15. Moga,2013 - 2014,176000.00,922000.00,5.24,,,,,,
1. Punjab,15. Moga,2014 - 2015,175000.00,794000.00,4.54,,,,,,
1. Punjab,15. Moga,2015 - 2016,175000.00,805000.00,4.6,,,,,,
1. Punjab,15. Moga,2016 - 2017,174000.00,918000.00,5.28,,,,,,
1. Punjab,15. Moga,2017 - 2018,175000.00,908000.00,5.19,,,,,,
1. Punjab,15. Moga,2018 - 2019,175000.00,941000.00,5.38,,,,,,
1. Punjab,15. Moga,2019 - 2020,176000.00,942000.00,5.35,,,,,,
1. Punjab,15. Moga,2020 - 2021,177000.00,911000.00,5.15,,,,,,
1. Punjab,15. Moga,2021 - 2022,177900.00,778000.00,4.37,,,,,,
1. Punjab,15. Moga,2022 - 2023,178100.00,846300.00,4.75,,,,,,
1. Punjab,16. Muktsar,1997  - 1998,176000.00,609000.00,3.46,,,,,,
1. Punjab,16. Muktsar,1998 - 1999,175000.00,741000.00,4.23,,,,,,
1. Punjab,16. Muktsar,1999 - 2000,187000.00,884000.00,4.73,,,,,,
1. Punjab,16. Muktsar,2000 - 2001,189000.00,869000.00,4.6,,,,,,
1. Punjab,16. Muktsar,2001 - 2002,193000.00,818000.00,4.24,,,,,,
1. Punjab,16. Muktsar,2002 - 2003,192000.00,809000.00,4.21,,,,,,
1. Punjab,16. Muktsar,2003 - 2004,197000.00,814000.00,4.13,,,,,,
1. Punjab,16. Muktsar,2004 - 2005,200000.00,799000.00,4,,,,,,
1. Punjab,16. Muktsar,2005 - 2006,200000.00,787000.00,3.94,,,,,,
1. Punjab,16. Muktsar,2006 - 2007,202000.00,854000.00,4.23,,,,,,
1. Punjab,16. Muktsar,2007 - 2008,202000.00,963000.00,4.77,,,,,,
1. Punjab,16. Muktsar,2008 - 2009,202000.00,977000.00,4.84,,,,,,
1. Punjab,16. Muktsar,2009 - 2010,205000.00,950000.00,4.63,,,,,,
1. Punjab,16. Muktsar,2010 - 2011,192000.00,957000.00,4.98,,,,,,
1. Punjab,16. Muktsar,2011 - 2012,206000.00,1036000.00,5.03,,,,,,
1. Punjab,16. Muktsar,2012 - 2013,209000.00,996000.00,4.77,,,,,,
1. Punjab,16. Muktsar,2013 - 2014,209000.00,1058000.00,5.06,,,,,,
1. Punjab,16. Muktsar,2014 - 2015,208000.00,907000.00,4.36,,,,,,
1. Punjab,16. Muktsar,2015 - 2016,209000.00,969000.00,4.64,,,,,,
1. Punjab,16. Muktsar,2016 - 2017,213000.00,1093000.00,5.13,,,,,,
1. Punjab,16. Muktsar,2017 - 2018,211000.00,1108000.00,5.25,,,,,,
1. Punjab,16. Muktsar,2018 - 2019,214000.00,1192000.00,5.57,,,,,,
1. Punjab,16. Muktsar,2019 - 2020,214000.00,1168000.00,5.46,,,,,,
1. Punjab,16. Muktsar,2020 - 2021,215200.00,1087000.00,5.05,,,,,,
1. Punjab,16. Muktsar,2021 - 2022,219200.00,992000.00,4.53,,,,,,
1. Punjab,16. Muktsar,2022 - 2023,217100.00,1019100.00,4.69,,,,,,
1. Punjab,17. Nawanshahr,1997  - 1998,57000.00,203000.00,3.56,,,,,,
1. Punjab,17. Nawanshahr,1998 - 1999,257000.00,1161000.00,4.52,,,,,,
1. Punjab,17. Nawanshahr,1999 - 2000,67000.00,308000.00,4.6,,,,,,
1. Punjab,17. Nawanshahr,2000 - 2001,70000.00,312000.00,4.46,,,,,,
1. Punjab,17. Nawanshahr,2001 - 2002,71000.00,324000.00,4.56,,,,,,
1. Punjab,17. Nawanshahr,2002 - 2003,68000.00,254000.00,3.74,,,,,,
1. Punjab,17. Nawanshahr,2003 - 2004,75000.00,311000.00,4.15,,,,,,
1. Punjab,17. Nawanshahr,2004 - 2005,76000.00,312000.00,4.11,,,,,,
1. Punjab,17. Nawanshahr,2005 - 2006,72000.00,303000.00,4.21,,,,,,
1. Punjab,17. Nawanshahr,2006 - 2007,72000.00,300000.00,4.17,,,,,,
1. Punjab,17. Nawanshahr,2007 - 2008,72000.00,328000.00,4.56,,,,,,
1. Punjab,17. Nawanshahr,2008 - 2009,76000.00,297000.00,3.91,,,,,,
1. Punjab,17. Nawanshahr,2009 - 2010,74000.00,316000.00,4.27,,,,,,
1. Punjab,17. Nawanshahr,2010 - 2011,74000.00,348000.00,4.7,,,,,,
1. Punjab,17. Nawanshahr,2011 - 2012,75000.00,387000.00,5.16,,,,,,
1. Punjab,17. Nawanshahr,2012 - 2013,80000.00,382000.00,4.78,,,,,,
1. Punjab,17. Nawanshahr,2013 - 2014,75000.00,371000.00,4.95,,,,,,
1. Punjab,17. Nawanshahr,2014 - 2015,76000.00,282000.00,3.71,,,,,,
1. Punjab,17. Nawanshahr,2015 - 2016,78000.00,368000.00,4.72,,,,,,
1. Punjab,17. Nawanshahr,2016 - 2017,76000.00,374000.00,4.92,,,,,,
1. Punjab,17. Nawanshahr,2017 - 2018,77000.00,385000.00,5,,,,,,
1. Punjab,17. Nawanshahr,2018 - 2019,77000.00,385000.00,5,,,,,,
1. Punjab,17. Nawanshahr,2019 - 2020,77000.00,391000.00,5.08,,,,,,
1. Punjab,17. Nawanshahr,2020 - 2021,77700.00,384000.00,4.94,,,,,,
